web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,page6,page6-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920075-9963","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/17645-Manzanita-Dr-Morgan-Hill-CA-95037/19846389_zpid/","Morgan Hill, CA 95037","For sale","17645 Manzanita Dr,","2","https://www.zillow.com/morgan-hill-ca/2_p/","","","","","","","","","3,031","4","5","$1,196,783","$1,199,000","Single Family","2005","Forced air","Central","Single Family","0.34 acres","$4,200/mo","null","null","null","{""targetDiv"":""gpt-ad-b8319565-4fe6-4cdd-b8ab-4133264d9db9"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""17645 Manzanita Dr"",""bd"":""4"",""fsbid"":""16701"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""19846389"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""6138721059048302481"",""sqftrange"":""3000-3499"",""price"":""1199000"",""sqft"":""3031"",""posting_url"":""http://Chellino.com"",""mlong"":""-121.607023"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95037"",""mlat"":""37.157016"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbhbp3lqklg6i1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1196783"",""premieragent"":""no""}}","null","null","null","null"
"1572919222-9075","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/community/borello-ranch-estates/2082558693_zpid/","Morgan Hill, CA 95037","New construction","Lot #0066, Borello Ranch Estates,","","","","","","","5","https://www.zillow.com/morgan-hill-ca/5_p/","","","3,401","4","5","None","$1,837,995","Single Family","2019","No Data","No Data","Single Family","No Data","null","6","6","7","{""targetDiv"":""gpt-ad-e5dd9aba-9cb2-4fd8-8293-b57a6e8aaa35"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" JQS0B"",""aamgnrc1"":""18620 Corte Bautista"",""bd"":""4"",""fsbid"":""830"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""2091898919"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3000-3499"",""price"":""1837995"",""sqft"":""3401"",""posting_url"":""https://www.tollbrothers.com/luxury-homes-for-sale/California/Borello-Ranch-Estates/Bellina"",""state"":""CA"",""mlong"":""-121.634912"",""cnty"":""Contra_Costa"",""prange"":""1_5-1_999m"",""zip"":""95037"",""mlat"":""37.1646"",""plid"":""2117748"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS6idsuj0v7ehc1000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""830-808777"",""dma"":""37""}}","null","null","null","null"
"1572919645-9559","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/17440-Chesbro-Lake-Dr-Morgan-Hill-CA-95037/2094540573_zpid/","Morgan Hill, CA 95037","Lot/land","17440 Chesbro Lake Dr,","","","","","4","https://www.zillow.com/morgan-hill-ca/4_p/","","","","","null","10 acres","null","null","$390,000","null","null","null","null","null","null","$2,825/mo","4","4","8","{""targetDiv"":""gpt-ad-b12351a8-54b1-43c4-ba2d-baa86ecd2244"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95037"",""aamgnrc1"":""17440 Chesbro Lake Dr"",""mlat"":""37.113789"",""bd"":""0"",""fsbid"":""4383"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS6u6v51gytt3w1000000000.jpg"",""zusr"":""true"",""city"":""Morgan_Hill"",""proptp"":""lot"",""pid"":""2094540573"",""lot"":""8,9"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""6813582389691434867"",""premieragent"":""no"",""price"":""390000"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/morgan-hill/17440-chesbro-lake-dr/pid_31538455/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.705208"",""state"":""CA"",""prange"":""350-399k""}}","null","null","null","null"
"1572920018-9921","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/17215-Holiday-Dr-Morgan-Hill-CA-95037/19846149_zpid/","Morgan Hill, CA 95037","Pre-foreclosure","17215 Holiday Dr,","2","https://www.zillow.com/morgan-hill-ca/2_p/","","","","","","","","","3,533","5","3","$1,154,806","$1,154,806","Single Family","1976","Other","No Data","Single Family","0.75 acres","null","6","4","7","{""targetDiv"":""gpt-ad-ce06af63-ed7b-4d4c-b5f8-7d40a712b3ea"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""17215 Holiday Dr"",""bd"":""5"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""19846149"",""lot"":""5"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""140760509775559541"",""sqftrange"":""3500-3999"",""price"":""1260000"",""sqft"":""3533"",""posting_url"":"""",""mlong"":""-121.597865"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95037"",""mlat"":""37.150893"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISqps0keuokhqq1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1391333"",""premieragent"":""no""}}","null","null","null","null"
"1572919688-9612","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/16390-San-Domingo-Dr-Morgan-Hill-CA-95037/166730434_zpid/","Morgan Hill, CA 95037","For sale","16390 San Domingo Dr,","","","3","https://www.zillow.com/morgan-hill-ca/3_p/","","","","","","","2,709","5","3","$981,897","$988,000","Condo","2017","Forced air","Central","Condo","$266/month","$3,800/mo","4","6","8","{""targetDiv"":""gpt-ad-80b548e9-007a-4608-81d4-397e8b63902e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""16390 San Domingo Dr"",""bd"":""5"",""fsbid"":""3020"",""city"":""Morgan_Hill"",""proptp"":""cnd"",""pid"":""166730434"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""598123886093911529"",""sqftrange"":""2500-2999"",""price"":""988000"",""sqft"":""2709"",""posting_url"":""http://www.homeresearch.com/Listing/Detail/149698?src=zillow"",""mlong"":""-121.635093"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""95037"",""mlat"":""37.122391"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7eyhp3lvkoec0000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""2010-2019"",""zestimate"":""981897"",""premieragent"":""no""}}","null","null","null","null"
"1572919910-9837","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/7007-Rodling-Dr-San-Jose-CA-95138/19810962_zpid/","San Jose, CA 95138","For sale","7007 Rodling Dr,","","","3","https://www.zillow.com/morgan-hill-ca/3_p/","","","","","","","1,093","2","3","$618,785","$624,000","Condo","1992","Forced air","Central","Condo","$333/month","$2,709/mo","5","6","8","{""targetDiv"":""gpt-ad-18f968af-adda-4c17-b0a7-62a694646ef6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""7007 Rodling Dr"",""bd"":""2"",""fsbid"":""15050"",""city"":""San_Jose"",""proptp"":""cnd"",""pid"":""19810962"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""2737111211804504054"",""sqftrange"":""1000-1499"",""price"":""624000"",""sqft"":""1093"",""posting_url"":""http://www.SandyGrad.KW.com"",""mlong"":""-121.765891"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""95138"",""mlat"":""37.235249"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrh232n52ea8h0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1990-1999"",""zestimate"":""618785"",""premieragent"":""no""}}","null","null","null","null"
"1572920197-10040","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/480-W-Edmundson-Ave-Morgan-Hill-CA-95037/19849019_zpid/","Morgan Hill, CA 95037","For sale","480 W Edmundson Ave,","","","","","","","","","","","2,007","4","3","null","$1,500,000","Single Family","1974","Forced air","Central","Single Family","0.88 acres","$3,800/mo","4","4","8","{""targetDiv"":""gpt-ad-f1f20511-6012-4630-a37b-4091802fbaf6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""480 W Edmundson Ave"",""bd"":""4"",""fsbid"":""3031"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""19849019"",""lot"":""5"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-7395441000952602226"",""sqftrange"":""2000-2499"",""price"":""1500000"",""sqft"":""2007"",""posting_url"":""http://www.century21.com/property/480-W-Edmundson-Ave-Morgan-Hill-CA-95037/11664722/detail"",""mlong"":""-121.649744"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95037"",""mlat"":""37.109841"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrp8xr60uhs980000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1469321"",""premieragent"":""no""}}","null","null","null","null"
"1572920161-10017","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/355-Clarke-Ln-Morgan-Hill-CA-95037/19842979_zpid/","Morgan Hill, CA 95037","For sale","355 Clarke Ln,","","","","","","","","","","","2,836","4","3","$1,596,175","$1,599,999","Single Family","1977","Heat pump","Central","Single Family","2.61 acres","$4,200/mo","2","6","8","{""targetDiv"":""gpt-ad-e64afba0-bafb-41ca-96b4-f9d801692797"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""355 Clarke Ln"",""bd"":""4"",""fsbid"":""16701"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""19842979"",""lot"":""7"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-3001366236880687852"",""sqftrange"":""2500-2999"",""price"":""1599999"",""sqft"":""2836"",""posting_url"":""http://karennelsen@interorealestate.com"",""mlong"":""-121.690707"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95037"",""mlat"":""37.153655"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjf7bz0krtlt90000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1596175"",""premieragent"":""no""}}","null","null","null","null"
"1572920089-9972","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/17565-Serene-Dr-Morgan-Hill-CA-95037/19844007_zpid/","Morgan Hill, CA 95037","For sale","17565 Serene Dr,","2","https://www.zillow.com/morgan-hill-ca/2_p/","","","","","","","","","3,263","5","3","$1,225,010","$1,225,000","Single Family","1990","Forced air","Central","Single Family","8,746 sqft","$3,950/mo","3","6","8","{""targetDiv"":""gpt-ad-0c08b13a-7de5-4c7a-897f-4ffd84e7ef0b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""17565 Serene Dr"",""bd"":""5"",""fsbid"":""13698"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""19844007"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-3181219978287906591"",""sqftrange"":""3000-3499"",""price"":""1225000"",""sqft"":""3263"",""posting_url"":""http://www.bonafedeteam.com"",""mlong"":""-121.642761"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95037"",""mlat"":""37.138622"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3ne505j9c5wm0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1225010"",""premieragent"":""no""}}","null","null","null","null"
"1572920123-9993","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/1525-Painted-Feather-Ct-Morgan-Hill-CA-95037/79843291_zpid/","Morgan Hill, CA 95037","For sale","1525 Painted Feather Ct,","","","","","","","","","","","5,078","4","4","$2,474,464","$2,498,000","Single Family","2006","Forced air","Central","Single Family","0.53 acres","$6,500/mo","6","6","8","{""targetDiv"":""gpt-ad-0760b53f-6dad-4585-862d-4c3cb65c5c52"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1525 Painted Feather Ct"",""bd"":""4"",""fsbid"":""13698"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""79843291"",""lot"":""4"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""2831387794448942034"",""sqftrange"":""5000-5999"",""price"":""2498000"",""sqft"":""5078"",""posting_url"":""http://www.landmarkrs.com"",""mlong"":""-121.647044"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""95037"",""mlat"":""37.16203"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvcpwt2bubqar1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""2000-2009"",""zestimate"":""2474464"",""premieragent"":""no""}}","null","null","null","null"
"1572919365-9240","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/16757-Murphy-Ave-Morgan-Hill-CA-95037/2084290437_zpid/","Morgan Hill, CA 95037","For sale","16757 Murphy Ave,","","","","","","","5","https://www.zillow.com/morgan-hill-ca/5_p/","","","2,720","4","3","$999,351","$1,016,175","Single Family","2019","Forced air","Central","Single Family","3,998 sqft","$3,800/mo","6","7","null","{""targetDiv"":""gpt-ad-c5783b57-70e4-4707-8d64-2e2f3bad7c66"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""16757 Murphy Ave"",""bd"":""4"",""fsbid"":""13698"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""2084290437"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""1649176009252167015"",""sqftrange"":""2500-2999"",""price"":""1016175"",""sqft"":""2720"",""posting_url"":""http://www.vandaele.com"",""mlong"":""-121.626865"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95037"",""mlat"":""37.130213"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7itgg5ko5d8h0000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""2010-2019"",""zestimate"":""999351"",""premieragent"":""no""}}","null","null","null","null"
"1572919216-9069","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/1280-Tennant-Ave-Morgan-Hill-CA-95037/2140028087_zpid/","Morgan Hill, CA 95037","Lot/land","1280 Tennant Ave,","","","","","","","5","https://www.zillow.com/morgan-hill-ca/5_p/","","","null","7.9 acres","null","null","$1,950,000","null","null","null","null","null","null","$2,500/mo","6","4","7","{""targetDiv"":""gpt-ad-e013df46-8b9d-4ead-9d7b-6a06635792dd"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95037"",""aamgnrc1"":""1280 Tennant Ave"",""mlat"":""37.119842"",""bd"":""0"",""fsbid"":""4383"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS23zrv1vug4j60000000000.jpg"",""zusr"":""true"",""city"":""Morgan_Hill"",""proptp"":""lot"",""pid"":""2140028087"",""lot"":""8"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-2517445249837079933"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""1950000"",""sqft"":""1200"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/morgan-hill/1280-tennant-ave/pid_25650481/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.621238"",""state"":""CA"",""prange"":""1_5-1_999m""}}","null","null","null","null"
"1572919880-9808","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/683-San-Gabriel-Ave-Morgan-Hill-CA-95037/121041911_zpid/","Morgan Hill, CA 95037","For sale","683 San Gabriel Ave,","","","3","https://www.zillow.com/morgan-hill-ca/3_p/","","","","","","","2,991","4","3","null","$1,275,000","Single Family","2013","Forced air","Central","Single Family","6,294 sqft","$3,600/mo","4","6","8","{""targetDiv"":""gpt-ad-993cc975-3641-4906-86b6-1d5cf47bcba6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""683 San Gabriel Ave"",""bd"":""4"",""fsbid"":""4383"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""121041911"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""2905471576074848312"",""sqftrange"":""2500-2999"",""price"":""1275000"",""sqft"":""2991"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/morgan-hill/683-san-gabriel-ave/pid_32378796/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.635839"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95037"",""mlat"":""37.124291"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbhzj3o47529x1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1275001"",""premieragent"":""no""}}","null","null","null","null"
"1572919875-9804","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/17505-Del-Monte-Ave-Morgan-Hill-CA-95037/19848606_zpid/","Morgan Hill, CA 95037","For sale","17505 Del Monte Ave,","","","3","https://www.zillow.com/morgan-hill-ca/3_p/","","","","","","","1,258","4","3","$950,121","$975,000","Single Family","1920","Forced air","Central","Single Family","6,969 sqft","$3,400/mo","2","4","7","{""targetDiv"":""gpt-ad-4805035b-2cf9-4a75-a47e-dad5e822fb02"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""17505 Del Monte Ave"",""bd"":""4"",""fsbid"":""16701"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""19848606"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""5517367825916562391"",""sqftrange"":""1000-1499"",""price"":""975000"",""sqft"":""1258"",""posting_url"":"""",""mlong"":""-121.655795"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""95037"",""mlat"":""37.128056"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjj65dkdc30c51000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1920-1939"",""zestimate"":""950121"",""premieragent"":""no""}}","null","null","null","null"
"1572919996-9907","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/193-Lantz-Dr-Morgan-Hill-CA-95037/19842846_zpid/","Morgan Hill, CA 95037","For sale","193 Lantz Dr,","2","https://www.zillow.com/morgan-hill-ca/2_p/","","","","","","","","","3,556","4","4","$1,985,944","$1,999,950","Single Family","1977","Forced air","Central","Single Family","2.71 acres","$5,995/mo","2","6","8","{""targetDiv"":""gpt-ad-669fd0b8-706b-40b5-ab84-c8943fc614cb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""193 Lantz Dr"",""bd"":""4"",""fsbid"":""13698"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""19842846"",""lot"":""7"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""4023708654441097346"",""sqftrange"":""3500-3999"",""price"":""1999950"",""oh"":""yes"",""sqft"":""3556"",""posting_url"":""http://www.MelanieJohnson.com/"",""mlong"":""-121.718779"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95037"",""mlat"":""37.185341"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb9x8nfl1qwcu0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1985944"",""premieragent"":""no""}}","null","null","null","null"
"1572920221-10051","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/community/madison-gate/2089269760_zpid/","Morgan Hill, CA 95037","New construction","Buildable plan: Residence 1-SFD, Madison Gate,","","","","","","","","","","","1,791","3","2.5","None","$1,075,900","Single Family","2019","No Data","No Data","Single Family","No Data","null","3","6","8","{""targetDiv"":""gpt-ad-027408db-0ed2-4475-9040-e88f3d4b694b"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" AVWB6A"",""aamgnrc1"":""802 Saint Rufina Ln"",""bd"":""3"",""fsbid"":""13809"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""2089269760"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""1075900"",""sqft"":""1791"",""posting_url"":""https://www.tripointehomes.com/northern-california/madison-gate/residence-1-sfd-33211/?utm_medium=referral&utm_source=zillow-feed&nhf_channel=6&nhf_listing_id=417753&nhf_listing_type=plan&utm_term=plan_Residence1-SFD&utm_campaign=tripointe-zillow-feed"",""state"":""CA"",""mlong"":""-121.637556"",""cnty"":""Santa_Clara"",""prange"":""1-1_499m"",""zip"":""95037"",""mlat"":""37.131202"",""plid"":""3612691"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISirweom3wbvuq1000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""13809-785772"",""dma"":""37""}}","null","null","null","null"
"1572920171-10024","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/216-Leisure-Dr-216-Morgan-Hill-CA-95037/2084303580_zpid/","Morgan Hill, CA 95037","For sale","216 Leisure Dr # 216,","","","","","","","","","","","1,512","2","2","$550,000","$549,999","Mobile / Manufactured","1980","Forced air","Central","Mobile / Manufactured","$364","null","2","8","null","{""targetDiv"":""gpt-ad-6f2f7fd9-d4f5-4860-90cd-6886042dd8c2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 216"",""aamgnrc1"":""216 Leisure Dr"",""bd"":""2"",""fsbid"":""13698"",""city"":""Morgan_Hill"",""proptp"":""mm"",""pid"":""2084303580"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-1614603469947630763"",""sqftrange"":""1500-1999"",""price"":""549999"",""sqft"":""1512"",""posting_url"":""http://www.realestateficks.com"",""mlong"":""-121.639739"",""state"":""CA"",""prange"":""500-599k"",""zip"":""95037"",""mlat"":""37.092455"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3f4s06imntyw1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1980-1989"",""zestimate"":""550000"",""premieragent"":""no""}}","null","null","null","null"
"1572919977-9893","https://www.zillow.com/homes/morgan-hill-CA_rb/","","https://www.zillow.com/homedetails/16620-San-Benito-Pl-Morgan-Hill-CA-95037/54773305_zpid/","Morgan Hill, CA 95037","For sale","16620 San Benito Pl,","2","https://www.zillow.com/morgan-hill-ca/2_p/","","","","","","","","","1,835","3","3","$838,130","$839,999","Single Family","2001","Forced air","Central","Single Family","3,916 sqft","$3,400/mo","4","6","8","{""targetDiv"":""gpt-ad-7d8dcf9c-bcfa-4c75-96c0-341b185777c8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""16620 San Benito Pl"",""bd"":""3"",""fsbid"":""16701"",""city"":""Morgan_Hill"",""proptp"":""sfh"",""pid"":""54773305"",""lot"":""1"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-1801488280249938741"",""sqftrange"":""1500-1999"",""price"":""839999"",""sqft"":""1835"",""posting_url"":""http://www.juliomyrealtor.com"",""mlong"":""-121.63696"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""95037"",""mlat"":""37.122986"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb1fdoyt7dm381000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2000-2009"",""zestimate"":""838130"",""premieragent"":""no""}}","null","null","null","null"
